# SECTION,summary
session_id,mode,scenario,poc,total_steps,total_nodes,total_edges,reification_count,avg_abs_v_deviation,dvr_enabled,invert_food,regulating_always,v_low,v_high,v_star,v_init,decay_alpha,beta,bucket_edges_lo,bucket_edges_hi,stick_deadzone
20260526_124850,DVRoff,S1norm,always,6656,21,35,0,0.0,0,0,1,0.4,0.8,0.8,0.8,0.00022,0.001,0.05,0.15,0.3

# SECTION,action_log
seg_idx,action,duration_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick
82,STOP,0.81,0.099812,0.025971,0.004779,0.0,0.0
83,RIGHT,0.77,0.047938,0.017253,-0.002049,0.8666,1.0
84,STOP,0.93,0.105275,0.020803,0.001736,0.0,0.0
85,LEFT,1.48,0.102823,0.042603,-0.002806,1.0,1.0
86,STOP,0.2,0.172163,0.010361,0.000198,0.0,0.0
87,ROT_R,0.47,0.150695,0.023735,0.004114,0.846,0.9258
88,STOP,0.28,0.092985,0.008074,0.004555,0.0,0.0
89,ROT_L,0.74,0.060731,0.008307,0.001376,0.8152,0.8325
90,STOP,0.22,0.061126,0.002066,-0.001771,0.0,0.0
91,BACK,0.79,0.056847,0.00781,0.000973,0.8928,0.9004
92,STOP,1.44,0.038072,0.014454,0.001222,0.0,0.0
93,ROT_L,0.2,0.009497,0.000709,0.000862,0.6245,0.7367
94,STOP,0.41,0.030078,0.011276,-0.003566,0.0,0.0
95,ROT_L,0.09,0.035951,0.001649,0.001535,0.4274,0.4345
96,STOP,0.44,0.034409,0.001266,2.2e-05,0.0,0.0
97,LEFT,1.66,0.103515,0.054482,-0.00347,1.0,1.0
98,STOP,0.37,0.167892,0.010298,-0.003163,0.0,0.0
99,RIGHT,1.49,0.157402,0.034748,0.000496,0.9941,1.0
100,STOP,1.09,0.123314,0.052414,0.004701,0.0,0.0
101,BACK,0.53,0.030628,0.004919,-0.000647,0.7727,0.855
102,STOP,0.38,0.037215,0.003358,-3.1e-05,0.0,0.0
103,FORWARD,0.36,0.04757,0.005614,-0.001587,0.8775,0.932
104,STOP,0.12,0.055664,0.002318,-0.000451,0.0,0.0
105,BACK,0.78,0.065013,0.009129,0.000383,0.8991,0.9281
106,STOP,0.24,0.040024,0.005329,0.002718,0.0,0.0
107,FORWARD,0.55,0.038109,0.003222,-0.000332,0.9568,1.0
108,STOP,0.21,0.047982,0.002237,-0.001805,0.0,0.0
109,BACK,0.52,0.046832,0.012242,-0.001925,0.8605,0.9063
110,STOP,0.33,0.061634,0.003759,0.001842,0.0,0.0
111,LEFT,1.19,0.115684,0.045804,-0.004185,0.9862,1.0
112,STOP,0.27,0.177493,0.012478,-5.6e-05,0.0,0.0
113,RIGHT,1.3,0.125179,0.022458,0.001292,0.9726,1.0
114,STOP,0.26,0.152692,0.011723,-0.000195,0.0,0.0
115,ROT_R,3.21,0.121241,0.030311,0.000521,0.887,0.9181
116,STOP,0.24,0.119157,0.002662,-0.000398,0.0,0.0
117,RIGHT,0.85,0.099833,0.03029,-0.002132,0.9507,1.0
118,STOP,0.44,0.173292,0.011573,-0.002475,0.0,0.0
119,BACK,0.67,0.104876,0.025191,0.005464,0.8502,0.8886
120,STOP,0.26,0.070434,0.004006,0.001999,0.0,0.0
121,LEFT,0.9,0.074605,0.013515,-0.00231,0.9701,1.0
122,STOP,0.72,0.119647,0.010583,0.00121,0.0,0.0
123,ROT_L,1.99,0.09639,0.022178,-0.00115,0.7867,0.8028
124,STOP,0.21,0.147253,0.001351,0.000226,0.0,0.0
125,FORWARD,1.17,0.110959,0.014299,0.00121,0.6473,0.7157
126,STOP,1.27,0.054444,0.039795,0.003489,0.0,0.0
127,ROT_L,0.07,0.00977,0.000662,0.00056,0.6252,0.6422
128,STOP,3.39,0.066451,0.036252,-0.00034,0.0,0.0
129,FORWARD,1.49,0.094693,0.036733,-0.003193,0.7145,0.8857
130,ROT_L,0.29,0.16218,0.020239,-0.008148,0.7808,0.8208
131,FORWARD,1.95,0.142715,0.046232,0.001886,0.4281,0.5161
132,STOP,0.2,0.117679,0.004856,0.001588,0.0,0.0
133,FORWARD,0.63,0.093121,0.006412,0.001285,0.4117,0.4407
134,ROT_L,0.17,0.092215,0.000755,-0.0004,0.7814,0.8337
135,STOP,0.3,0.134505,0.032663,-0.011195,0.0,0.0
136,ROT_L,0.18,0.173546,0.00455,0.000662,0.7373,0.8307
137,STOP,0.25,0.180905,0.01219,-0.003785,0.0,0.0
138,FORWARD,0.82,0.187592,0.012223,0.000565,0.7754,0.8789
139,ROT_R,0.4,0.189545,0.010212,-0.002858,0.807,0.9075
140,STOP,0.26,0.244449,0.01039,-0.007511,0.0,0.0
141,FORWARD,0.54,0.209776,0.026939,0.005699,0.7789,0.8319
142,ROT_R,0.24,0.194536,0.004695,0.000871,0.8199,0.9305
143,STOP,7.6,0.036385,0.062626,0.001129,0.0,0.0
144,RIGHT,0.6,0.076768,0.072042,-0.013465,0.9369,1.0
145,FORWARD,0.47,0.217559,0.009048,-0.00071,0.9431,1.0
146,RIGHT,0.54,0.185039,0.018123,0.002187,0.9544,1.0
147,STOP,0.92,0.169538,0.022037,0.002717,0.0,0.0
148,ROT_L,0.1,0.107053,0.000999,0.004718,0.7495,0.8523
149,STOP,0.49,0.140139,0.030681,-0.005214,0.0,0.0
150,FORWARD,0.11,0.153767,0.002341,0.004591,0.8548,0.8609
151,STOP,0.23,0.138697,0.004762,0.004179,0.0,0.0
152,LEFT,0.2,0.139274,0.005518,-0.00074,0.944,1.0
153,STOP,12.35,0.060752,0.068965,0.00049,0.0,0.0

# SECTION,action_agg
action,total_dur_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick,segments
STOP,184.38,0.075687,0.05256,9e-05,0.0,0.0,67
FORWARD,67.72,0.073822,0.057702,-0.000192,0.7465,1.0,28
RIGHT,9.3,0.110508,0.041323,-0.001601,0.9464,1.0,12
ROT_R,8.92,0.064239,0.057014,0.000498,0.7024,0.9523,20
ROT_L,7.41,0.090607,0.049824,-0.000345,0.7044,0.8523,13
LEFT,6.88,0.106322,0.02476,-0.003367,0.9106,1.0,7
BACK,6.2,0.067243,0.023296,0.000397,0.7518,0.9281,7

# SECTION,nodes
action,tension_bucket,count,mean_dv,std_dv
STOP,L,2301,0.000423,0.00165
STOP,M,1506,0.001863,0.008477
FORWARD,L,1017,-0.000559,0.002979
FORWARD,M,457,-0.000404,0.00541
STOP,H,415,-0.000838,0.007992
ROT_L,M,147,-0.00095,0.004677
RIGHT,M,120,-0.001767,0.011368
ROT_R,M,117,0.000149,0.005399
BACK,M,117,0.00034,0.005382
LEFT,M,104,-0.003287,0.009709
FORWARD,H,65,0.001406,0.00953
RIGHT,H,55,-0.001574,0.012242
ROT_R,L,48,4.5e-05,0.002798
RIGHT,L,35,-0.003154,0.005754
BACK,L,33,-0.000268,0.00278
ROT_R,H,32,-0.001582,0.009187
LEFT,L,31,-0.001054,0.00359
LEFT,H,28,-0.006296,0.010925
ROT_L,H,18,-0.003952,0.006946
ROT_L,L,8,0.000955,0.001111
BACK,H,2,0.013656,0.006044

# SECTION,reification
from_action,from_bucket,to_action,to_bucket,count,mean_dv,std_dv
