# SECTION,summary
session_id,mode,scenario,poc,total_steps,total_nodes,total_edges,reification_count,avg_abs_v_deviation,dvr_enabled,invert_food,regulating_always,v_low,v_high,v_star,v_init,decay_alpha,beta,bucket_edges_lo,bucket_edges_hi,stick_deadzone
20260525_150005,DVRoff,S1norm,always,2608,10,3,0,0.0,0,0,1,0.4,0.8,0.8,0.8,0.00022,0.001,0.05,0.15,0.3

# SECTION,action_log
seg_idx,action,duration_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick
0,STOP,2.61,0.004355,0.00272,-5.2e-05,0.0,0.0
1,ROT_R,0.51,0.042062,0.037179,-0.006796,0.9147,0.9505
2,STOP,2.06,0.030705,0.039487,0.001691,0.0,0.0
3,ROT_R,0.4,0.020342,0.01651,-0.00402,0.9168,0.9499
4,STOP,0.83,0.051273,0.020296,0.001279,0.0,0.0
5,ROT_R,0.36,0.022398,0.012098,-0.002867,0.9052,0.9558
6,STOP,0.68,0.056991,0.015757,0.001046,0.0,0.0
7,FORWARD,4.82,0.042961,0.013425,-0.00016,0.9909,1.0
8,STOP,3.01,0.059865,0.050354,-0.000231,0.0,0.0
9,ROT_R,0.73,0.098928,0.024002,-0.002252,0.9293,0.9599
10,STOP,0.91,0.065389,0.035649,0.003931,0.0,0.0
11,ROT_L,0.24,0.018322,0.001522,0.000156,0.6979,0.8578
12,STOP,0.64,0.038544,0.01025,-0.000228,0.0,0.0
13,FORWARD,1.39,0.022704,0.00335,3.6e-05,0.9008,0.9388
14,STOP,0.79,0.020001,0.001819,0.000355,0.0,0.0
15,FORWARD,4.19,0.01785,0.003956,1.1e-05,0.9338,0.9468
16,STOP,7.04,0.003774,0.003775,6e-05,0.0,0.0
17,FORWARD,1.87,0.014572,0.005554,-0.000319,0.937,0.9555
18,STOP,0.96,0.0157,0.003923,0.000364,0.0,0.0
19,ROT_R,1.12,0.030191,0.01367,-0.000986,0.8244,0.9181
20,STOP,1.14,0.018834,0.015024,0.001153,0.0,0.0
21,ROT_R,0.58,0.025011,0.016818,-0.00321,0.8271,0.9128
22,STOP,2.03,0.017099,0.022046,0.000957,0.0,0.0
23,FORWARD,0.56,0.010889,0.008457,-0.001475,0.9356,1.0
24,STOP,1.24,0.017149,0.009524,0.000586,0.0,0.0
25,ROT_L,0.41,0.014486,0.012611,-0.003086,0.7071,0.8375
26,STOP,3.23,0.011039,0.018074,0.000413,0.0,0.0
27,FORWARD,25.66,0.019978,0.008153,-3e-05,0.9966,1.0
28,STOP,0.39,0.023782,0.000645,1.9e-05,0.0,0.0
29,FORWARD,0.75,0.022681,0.002887,-5.1e-05,0.9502,1.0
30,STOP,0.69,0.022097,0.002389,0.000482,0.0,0.0
31,ROT_L,0.12,0.014247,0.000785,0.000974,0.6568,0.8103
32,STOP,0.41,0.023439,0.006776,-0.001185,0.0,0.0
33,ROT_L,0.16,0.020731,0.003549,0.002363,0.7538,0.8869
34,STOP,0.37,0.021709,0.005324,-0.000954,0.0,0.0
35,FORWARD,0.26,0.017843,0.001658,0.001052,0.9627,1.0
36,STOP,0.74,0.023983,0.004187,-2.6e-05,0.0,0.0
37,RIGHT,0.72,0.02292,0.008013,-0.000756,0.9951,1.0
38,STOP,0.4,0.034463,0.001452,8.4e-05,0.0,0.0
39,ROT_L,0.16,0.031604,0.000376,0.000185,0.7655,0.8832
40,STOP,0.21,0.031132,0.002545,-0.000703,0.0,0.0
41,BACK,0.19,0.036613,0.000809,-1e-06,0.7762,0.8609
42,STOP,3.24,0.009258,0.009938,0.000318,0.0,0.0
43,BACK,0.66,0.01067,0.006219,-0.000902,0.8489,0.8898
44,STOP,0.53,0.030378,0.003947,-0.000686,0.0,0.0
45,BACK,0.24,0.028389,0.001276,0.00082,0.742,0.888
46,STOP,0.55,0.027178,0.001486,0.000268,0.0,0.0
47,RIGHT,1.31,0.033155,0.008643,-0.000599,0.9654,1.0
48,STOP,2.28,0.026121,0.016933,0.00066,0.0,0.0
49,FORWARD,0.12,0.002026,5e-05,5.1e-05,0.6395,0.7089
50,STOP,0.33,0.008767,0.005167,-0.001693,0.0,0.0
51,BACK,0.2,0.017807,0.001552,0.000369,0.8608,0.8768
52,STOP,1.13,0.016947,0.006069,-9.2e-05,0.0,0.0
53,FORWARD,0.13,0.017117,0.000155,0.000209,0.5337,0.6384
54,STOP,3.79,0.002857,0.002673,0.00014,0.0,0.0

# SECTION,action_agg
action,total_dur_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick,segments
STOP,42.23,0.025458,0.016222,0.000284,0.0,0.0,28
FORWARD,39.75,0.018862,0.009909,-6.8e-05,0.8781,1.0,10
ROT_R,3.7,0.039822,0.027367,-0.003355,0.8862,0.9599,6
RIGHT,2.03,0.028037,0.005117,-0.000678,0.9803,1.0,2
BACK,1.29,0.02337,0.00991,7.1e-05,0.807,0.8898,4
ROT_L,1.09,0.019878,0.006347,0.000118,0.7162,0.8869,5

# SECTION,nodes
action,tension_bucket,count,mean_dv,std_dv
FORWARD,L,1122,2e-05,0.001107
STOP,L,1092,0.000122,0.00114
STOP,M,109,0.000795,0.006077
ROT_R,L,78,-0.002432,0.003216
RIGHT,L,59,-0.000649,0.001748
FORWARD,M,43,-0.000278,0.004128
BACK,L,36,-0.000268,0.001152
ROT_L,L,31,-0.00066,0.00285
ROT_R,M,30,-0.004118,0.004829
STOP,H,8,-0.001001,0.007205

# SECTION,reification
from_action,from_bucket,to_action,to_bucket,count,mean_dv,std_dv
